BOROUGH,SCHOOL_NAME,NEIGHBORHOOD,INTEREST,METHOD,TOTAL_STUDENTS,GRADUATION_RATE,ATTENDANCE_RATE,COLLEGE_CAREER_RATE,SAFE,SEATS,APPLICANTS,LANGUAGE_CLASSES,ADVANCED_PLACEMENT_COURSES,SCHOOL_SPORTS
Jawa Barat,SMK Teknologi Surabaya,Denpasar,Teaching,Ed. Opt.,447,81,82,41,84,85.0,222.0,Bahasa Jepang,"Bahasa Inggris, Ekonomi, Kimia","Bulu Tangkis, Basket"
DKI Jakarta,SMA Negeri 2 Bandung,Sleman,Culinary Arts,Open,319,68,87,38,80,67.0,190.0,Bahasa Arab,"Biologi, Kimia, Ekonomi","Bulu Tangkis, Renang"
Jawa Barat,SMA Labschool Bandung,Sleman,Computer Science & Technology,Ed. Opt.,376,0,91,0,88,67.0,963.0,Bahasa Jerman,Fisika,Futsal
DKI Jakarta,SMA Negeri 5 Jakarta,Surabaya,"Computer Science, Math & Technology",Screened,1257,98,89,80,71,131.0,2057.0,Bahasa Arab,Bahasa Inggris,Futsal
Jawa Timur,SMA Negeri 5 Jakarta,Sleman,Humanities & Interdisciplinary,Ed. Opt.,236,56,82,47,96,45.0,256.0,Bahasa Mandarin,Ekonomi,Renang
Jawa Timur,SMA Negeri 2 Bandung,Jakarta Selatan,Science & Math,Test,2995,100,97,98,92,,,Bahasa Mandarin,"Bahasa Inggris, Ekonomi, Fisika",Basket
Jawa Timur,SMK Teknologi Surabaya,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,387,80,85,54,86,68.0,907.0,Bahasa Mandarin,Kimia,Pencak Silat
Yogyakarta,SMA Negeri 2 Bandung,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,1278,88,93,71,92,244.0,2862.0,Bahasa Mandarin,"Ekonomi, Biologi, Kimia",Bulu Tangkis
Yogyakarta,SMA Negeri 1 Jakarta,Bandung,Science & Math,Open,269,89,88,68,84,89.0,508.0,Bahasa Jerman,"Matematika Lanjutan, Kimia, Ekonomi",Pencak Silat
DKI Jakarta,SMA Negeri 2 Bandung,Bandung,Computer Science & Technology,Screened,430,75,86,57,91,37.0,785.0,Bahasa Mandarin,Biologi,"Futsal, Basket"
Jawa Timur,SMK Pariwisata Bali,Denpasar,Business,Ed. Opt.,284,69,82,28,68,85.0,304.0,Bahasa Arab,"Matematika Lanjutan, Ekonomi, Bahasa Inggris",Pencak Silat
Bali,SMA Negeri 5 Jakarta,Surabaya,Law & Government,Ed. Opt.,307,84,84,61,84,83.0,547.0,Bahasa Mandarin,"Kimia, Matematika Lanjutan","Basket, Pencak Silat"
Bali,SMK Teknologi Surabaya,Surabaya,Performing Arts,Ed. Opt.,296,74,83,55,84,89.0,585.0,Bahasa Jerman,"Matematika Lanjutan, Fisika","Pencak Silat, Renang"
Jawa Timur,SMA Labschool Bandung,Denpasar,Visual Art & Design,Ed. Opt.,407,68,76,33,81,99.0,153.0,Bahasa Mandarin,"Ekonomi, Biologi, Matematika Lanjutan","Pencak Silat, Renang"
DKI Jakarta,SMK Teknologi Surabaya,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,378,67,83,40,83,100.0,183.0,Bahasa Jepang,"Biologi, Kimia, Bahasa Inggris",Futsal
Jawa Barat,SMK Pariwisata Bali,Denpasar,Humanities & Interdisciplinary,Ed. Opt.,460,54,85,38,67,65.0,280.0,Bahasa Jerman,"Bahasa Inggris, Ekonomi","Renang, Pencak Silat"
Jawa Barat,SMA Negeri 2 Bandung,Surabaya,Humanities & Interdisciplinary,Screened,510,73,92,77,93,81.0,1429.0,Bahasa Mandarin,"Matematika Lanjutan, Fisika",Futsal
Bali,SMK Pariwisata Bali,Sleman,Performing Arts,Open,338,67,81,46,84,85.0,323.0,Bahasa Arab,Ekonomi,"Renang, Futsal"
Jawa Timur,SMK Teknologi Surabaya,Sleman,Humanities & Interdisciplinary,Ed. Opt.,171,66,87,36,93,75.0,165.0,Bahasa Jepang,"Ekonomi, Matematika Lanjutan","Pencak Silat, Bulu Tangkis"
DKI Jakarta,SMK Informatika Nusantara,Surabaya,Humanities & Interdisciplinary,Screened: Language,523,77,91,47,88,64.0,376.0,Bahasa Inggris,"Kimia, Fisika, Biologi",Basket
Bali,SMA Labschool Bandung,Sleman,Visual Art & Design,Open,534,66,87,23,80,21.0,75.0,Bahasa Jerman,"Matematika Lanjutan, Kimia","Bulu Tangkis, Futsal"
Jawa Barat,SMA Negeri 1 Jakarta,Bandung,Computer Science & Technology,Ed. Opt.,422,0,90,0,75,90.0,579.0,Bahasa Jerman,"Ekonomi, Matematika Lanjutan, Bahasa Inggris","Futsal, Pencak Silat"
Jawa Timur,SMA Negeri 2 Bandung,Surabaya,Law & Government,Ed. Opt.,409,85,82,55,83,85.0,1137.0,Bahasa Mandarin,Kimia,"Bulu Tangkis, Basket"
Bali,SMA Labschool Bandung,Bandung,Humanities & Interdisciplinary,Screened,541,100,96,90,98,104.0,5052.0,Bahasa Mandarin,"Kimia, Biologi, Matematika Lanjutan","Bulu Tangkis, Futsal"
Jawa Barat,SMA Negeri 1 Jakarta,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,303,72,81,30,75,45.0,119.0,Bahasa Mandarin,"Bahasa Inggris, Biologi","Bulu Tangkis, Basket"
Jawa Timur,SMA Negeri 5 Jakarta,Denpasar,Science & Math,Open,262,67,81,52,81,56.0,117.0,Bahasa Inggris,"Kimia, Biologi","Basket, Pencak Silat"
Jawa Barat,SMA Negeri 1 Jakarta,Denpasar,Performing Arts/Visual Art & Design,Ed. Opt.,168,55,78,50,76,67.0,222.0,Bahasa Jepang,Bahasa Inggris,Renang
Jawa Barat,SMK Informatika Nusantara,Surabaya,Health Professions,Ed. Opt.,496,72,83,0,81,85.0,784.0,Bahasa Inggris,"Fisika, Biologi, Ekonomi",Pencak Silat
Jawa Timur,SMA Negeri 3 Sleman,Denpasar,Science & Math,Ed. Opt.,584,79,80,55,84,83.0,509.0,Bahasa Inggris,Matematika Lanjutan,"Bulu Tangkis, Futsal"
Jawa Barat,SMA Negeri 5 Jakarta,Bandung,Humanities & Interdisciplinary,Open,271,54,83,39,80,124.0,171.0,Bahasa Inggris,Bahasa Inggris,"Futsal, Pencak Silat"
Bali,SMK Teknologi Surabaya,Jakarta Selatan,Health Professions,Ed. Opt.,372,64,79,45,90,64.0,468.0,Bahasa Jepang,"Fisika, Ekonomi, Kimia","Renang, Futsal"
DKI Jakarta,SMA Negeri 5 Jakarta,Surabaya,Science & Math,Ed. Opt.,562,84,93,68,76,45.0,418.0,Bahasa Inggris,Biologi,Futsal
Jawa Barat,SMA Negeri 5 Jakarta,Denpasar,Communications,Ed. Opt.,3789,80,91,64,86,562.0,5667.0,Bahasa Mandarin,Ekonomi,Basket
Jawa Timur,SMA Negeri 1 Jakarta,Surabaya,Humanities & Interdisciplinary,Screened,565,96,94,92,95,68.0,438.0,Bahasa Arab,"Ekonomi, Biologi, Fisika",Basket
Jawa Timur,SMA Negeri 1 Jakarta,Bandung,Humanities & Interdisciplinary,Ed. Opt.,405,73,83,0,77,85.0,609.0,Bahasa Inggris,"Ekonomi, Matematika Lanjutan","Bulu Tangkis, Futsal"
Yogyakarta,SMA Negeri 5 Jakarta,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,567,64,79,46,80,138.0,291.0,Bahasa Jerman,"Biologi, Kimia, Matematika Lanjutan",Bulu Tangkis
Yogyakarta,SMK Informatika Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Open,647,96,90,55,89,67.0,321.0,Bahasa Jepang,Bahasa Inggris,Futsal
Jawa Barat,SMA Negeri 2 Bandung,Surabaya,Engineering,Screened,428,63,85,25,81,25.0,257.0,Bahasa Inggris,"Bahasa Inggris, Fisika","Pencak Silat, Futsal"
Yogyakarta,SMA Labschool Bandung,Denpasar,Humanities & Interdisciplinary,Ed. Opt.,671,88,89,63,79,68.0,347.0,Bahasa Mandarin,"Biologi, Matematika Lanjutan, Bahasa Inggris","Futsal, Bulu Tangkis"
DKI Jakarta,SMA Labschool Bandung,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,422,64,84,49,77,67.0,113.0,Bahasa Mandarin,Kimia,Basket
Jawa Barat,SMA Negeri 3 Sleman,Jakarta Selatan,Humanities & Interdisciplinary,Screened,540,99,95,95,95,125.0,2447.0,Bahasa Jerman,Ekonomi,"Futsal, Basket"
Jawa Timur,SMK Informatika Nusantara,Surabaya,Project-Based Learning,Screened: Language,442,65,91,65,87,75.0,308.0,Bahasa Mandarin,"Bahasa Inggris, Kimia","Pencak Silat, Renang"
Yogyakarta,SMK Informatika Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,457,48,81,45,76,85.0,489.0,Bahasa Jepang,"Biologi, Kimia, Fisika",Renang
DKI Jakarta,SMA Negeri 5 Jakarta,Sleman,Science & Math,Ed. Opt.,534,77,91,57,96,71.0,531.0,Bahasa Jepang,"Biologi, Bahasa Inggris, Kimia","Renang, Bulu Tangkis"
DKI Jakarta,SMA Negeri 5 Jakarta,Bandung,Performing Arts,Ed. Opt.,942,85,87,65,79,28.0,215.0,Bahasa Mandarin,Ekonomi,"Basket, Pencak Silat"
Bali,SMA Negeri 1 Jakarta,Sleman,Film/Video,Audition,831,93,93,95,96,26.0,336.0,Bahasa Arab,"Bahasa Inggris, Ekonomi, Biologi","Renang, Futsal"
Yogyakarta,SMA Negeri 3 Sleman,Jakarta Selatan,Science & Math,Screened: Language,403,88,93,77,87,85.0,611.0,Bahasa Inggris,"Matematika Lanjutan, Ekonomi, Kimia",Renang
DKI Jakarta,SMA Negeri 3 Sleman,Jakarta Selatan,Humanities & Interdisciplinary,Screened: Language,360,66,87,52,87,90.0,267.0,Bahasa Arab,"Matematika Lanjutan, Ekonomi, Kimia","Bulu Tangkis, Renang"
DKI Jakarta,SMK Teknologi Surabaya,Bandung,Humanities & Interdisciplinary,Ed. Opt.,488,91,88,64,94,42.0,1647.0,Bahasa Jerman,"Fisika, Bahasa Inggris","Bulu Tangkis, Pencak Silat"
DKI Jakarta,SMK Teknologi Surabaya,Bandung,Humanities & Interdisciplinary,Ed. Opt.,529,96,90,76,94,119.0,1139.0,Bahasa Arab,"Bahasa Inggris, Matematika Lanjutan, Fisika",Basket
DKI Jakarta,SMK Informatika Nusantara,Denpasar,Business,Screened,3284,86,90,73,83,21.0,771.0,Bahasa Jerman,Biologi,Pencak Silat
DKI Jakarta,SMA Negeri 1 Jakarta,Denpasar,Humanities & Interdisciplinary,Transfer,234,0,65,0,86,43.0,105.0,Bahasa Arab,"Biologi, Ekonomi",Bulu Tangkis
Jawa Barat,SMA Negeri 5 Jakarta,Jakarta Selatan,Health Professions,Ed. Opt.,766,78,84,42,80,98.0,408.0,Bahasa Arab,"Kimia, Bahasa Inggris",Pencak Silat
DKI Jakarta,SMA Negeri 2 Bandung,Bandung,Law & Government,Ed. Opt.,439,86,85,55,83,103.0,1453.0,Bahasa Jepang,"Fisika, Kimia","Renang, Bulu Tangkis"
Jawa Barat,SMK Pariwisata Bali,Bandung,Humanities & Interdisciplinary,Test,400,99,97,100,99,,,Bahasa Arab,"Matematika Lanjutan, Kimia, Ekonomi",Futsal
Yogyakarta,SMK Informatika Nusantara,Jakarta Selatan,Film/Video,Ed. Opt.,565,98,93,81,90,113.0,1435.0,Bahasa Jepang,"Bahasa Inggris, Biologi",Bulu Tangkis
DKI Jakarta,SMA Labschool Bandung,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,586,84,88,56,74,61.0,350.0,Bahasa Jepang,Kimia,"Bulu Tangkis, Renang"
DKI Jakarta,SMA Labschool Bandung,Surabaya,Science & Math,Open,495,86,89,0,83,98.0,1108.0,Bahasa Arab,"Fisika, Matematika Lanjutan","Futsal, Basket"
Jawa Timur,SMA Negeri 1 Jakarta,Denpasar,Science & Math,Screened,541,98,96,83,88,64.0,1211.0,Bahasa Inggris,"Matematika Lanjutan, Ekonomi, Biologi",Renang
Bali,SMK Pariwisata Bali,Denpasar,Humanities & Interdisciplinary,Ed. Opt.,643,64,84,50,82,64.0,488.0,Bahasa Arab,"Matematika Lanjutan, Fisika, Bahasa Inggris","Renang, Futsal"
Bali,SMA Negeri 3 Sleman,Surabaya,Computer Science & Technology,Open,397,0,87,0,83,90.0,434.0,Bahasa Jerman,"Ekonomi, Fisika, Kimia",Futsal
DKI Jakarta,SMA Negeri 3 Sleman,Surabaya,Computer Science & Technology,Ed. Opt.,491,53,81,35,74,118.0,524.0,Bahasa Mandarin,"Bahasa Inggris, Fisika, Biologi",Pencak Silat
DKI Jakarta,SMK Teknologi Surabaya,Surabaya,Humanities & Interdisciplinary,Screened: Language,243,62,90,49,92,67.0,108.0,Bahasa Jerman,Biologi,Futsal
Jawa Barat,SMK Informatika Nusantara,Bandung,Humanities & Interdisciplinary,Screened: Language,341,58,81,42,78,64.0,180.0,Bahasa Arab,"Matematika Lanjutan, Fisika, Kimia","Pencak Silat, Basket"
Yogyakarta,SMA Plus Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Screened,1141,99,97,100,96,279.0,6015.0,Bahasa Mandarin,"Fisika, Matematika Lanjutan, Kimia",Pencak Silat
Yogyakarta,SMK Pariwisata Bali,Sleman,Humanities & Interdisciplinary,Transfer,334,0,62,0,96,25.0,30.0,Bahasa Arab,"Ekonomi, Bahasa Inggris, Biologi","Pencak Silat, Bulu Tangkis"
Bali,SMA Plus Nusantara,Jakarta Selatan,Business,Ed. Opt.,426,82,84,63,88,103.0,1202.0,Bahasa Mandarin,Biologi,"Basket, Pencak Silat"
Yogyakarta,SMA Negeri 3 Sleman,Sleman,Humanities & Interdisciplinary,Ed. Opt.,436,76,86,60,88,90.0,871.0,Bahasa Jerman,"Fisika, Biologi",Renang
Jawa Barat,SMA Negeri 2 Bandung,Sleman,Humanities & Interdisciplinary,Ed. Opt.,269,68,85,32,88,54.0,415.0,Bahasa Jerman,Bahasa Inggris,Bulu Tangkis
Bali,SMK Teknologi Surabaya,Sleman,Computer Science & Technology,Ed. Opt.,460,85,90,82,87,90.0,2328.0,Bahasa Jerman,"Ekonomi, Matematika Lanjutan","Bulu Tangkis, Pencak Silat"
Jawa Barat,SMK Informatika Nusantara,Bandung,Humanities & Interdisciplinary,For Continuing 8th Graders,583,66,91,57,71,,,Bahasa Inggris,"Matematika Lanjutan, Biologi, Fisika","Basket, Bulu Tangkis"
Bali,SMK Teknologi Surabaya,Jakarta Selatan,Health Professions,Ed. Opt.,333,71,80,32,77,89.0,284.0,Bahasa Jerman,Fisika,Pencak Silat
Jawa Timur,SMK Pariwisata Bali,Sleman,Humanities & Interdisciplinary,Ed. Opt.,195,75,91,51,77,62.0,153.0,Bahasa Jepang,"Fisika, Matematika Lanjutan, Kimia",Bulu Tangkis
Yogyakarta,SMA Plus Nusantara,Denpasar,Science & Math,Open,734,83,88,72,89,71.0,614.0,Bahasa Arab,"Kimia, Ekonomi","Bulu Tangkis, Futsal"
Jawa Timur,SMK Pariwisata Bali,Jakarta Selatan,Law & Government,Ed. Opt.,4557,89,92,75,89,67.0,4596.0,Bahasa Mandarin,"Matematika Lanjutan, Kimia, Ekonomi","Basket, Pencak Silat"
Jawa Timur,SMK Informatika Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,676,95,90,74,85,136.0,1620.0,Bahasa Jepang,"Bahasa Inggris, Matematika Lanjutan, Kimia","Basket, Renang"
Yogyakarta,SMA Negeri 1 Jakarta,Surabaya,Project-Based Learning,Ed. Opt.,347,84,87,70,88,74.0,374.0,Bahasa Jerman,"Bahasa Inggris, Ekonomi","Pencak Silat, Futsal"
Jawa Timur,SMK Informatika Nusantara,Surabaya,Engineering,Ed. Opt.,399,77,82,53,79,85.0,903.0,Bahasa Jepang,"Ekonomi, Biologi","Renang, Basket"
Jawa Timur,SMA Negeri 5 Jakarta,Sleman,Humanities & Interdisciplinary,Screened,491,98,93,78,90,52.0,1255.0,Bahasa Inggris,"Bahasa Inggris, Biologi","Basket, Renang"
Jawa Barat,SMK Teknologi Surabaya,Jakarta Selatan,Humanities & Interdisciplinary,Ed. Opt.,281,73,81,42,87,83.0,458.0,Bahasa Jepang,"Kimia, Biologi, Ekonomi",Basket
DKI Jakarta,SMK Pariwisata Bali,Denpasar,Humanities & Interdisciplinary,Screened: Language,337,74,89,56,93,71.0,296.0,Bahasa Jepang,Fisika,Basket
DKI Jakarta,SMA Negeri 5 Jakarta,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,3783,88,90,73,84,25.0,592.0,Bahasa Jerman,Ekonomi,"Bulu Tangkis, Renang"
Bali,SMA Labschool Bandung,Jakarta Selatan,Science & Math,Ed. Opt.,463,92,91,75,93,85.0,3030.0,Bahasa Arab,Matematika Lanjutan,"Renang, Futsal"
Yogyakarta,SMA Plus Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Screened: Language,414,80,80,41,84,85.0,488.0,Bahasa Mandarin,"Bahasa Inggris, Matematika Lanjutan, Ekonomi","Bulu Tangkis, Basket"
Jawa Barat,SMA Labschool Bandung,Denpasar,Humanities & Interdisciplinary,Open,411,50,76,43,68,118.0,134.0,Bahasa Arab,"Kimia, Ekonomi, Biologi","Bulu Tangkis, Pencak Silat"
Jawa Barat,SMA Negeri 1 Jakarta,Sleman,Health Professions,Screened,690,96,95,92,82,90.0,1722.0,Bahasa Inggris,Bahasa Inggris,Basket
Jawa Barat,SMA Negeri 3 Sleman,Sleman,Humanities & Interdisciplinary,Open,558,82,89,0,80,109.0,480.0,Bahasa Jepang,"Kimia, Biologi, Fisika",Pencak Silat
Jawa Timur,SMK Pariwisata Bali,Denpasar,Business,Ed. Opt.,242,67,81,48,68,89.0,268.0,Bahasa Inggris,"Bahasa Inggris, Matematika Lanjutan, Kimia","Pencak Silat, Bulu Tangkis"
Jawa Barat,SMK Pariwisata Bali,Bandung,Humanities & Interdisciplinary,Screened,4582,75,90,70,80,91.0,3148.0,Bahasa Arab,"Biologi, Matematika Lanjutan, Kimia",Pencak Silat
DKI Jakarta,SMA Negeri 3 Sleman,Bandung,Humanities & Interdisciplinary,Ed. Opt.,318,0,89,0,78,78.0,263.0,Bahasa Inggris,"Fisika, Bahasa Inggris",Renang
Jawa Barat,SMK Informatika Nusantara,Denpasar,Humanities & Interdisciplinary,Screened,460,100,97,94,95,92.0,4508.0,Bahasa Inggris,"Biologi, Fisika","Renang, Pencak Silat"
DKI Jakarta,SMA Labschool Bandung,Sleman,Science & Math,Ed. Opt.,513,73,84,64,83,85.0,1482.0,Bahasa Arab,"Bahasa Inggris, Biologi",Pencak Silat
Bali,SMA Negeri 3 Sleman,Sleman,Law & Government,Screened,454,95,93,84,86,29.0,396.0,Bahasa Mandarin,"Fisika, Ekonomi, Kimia",Pencak Silat
Bali,SMA Negeri 5 Jakarta,Surabaya,Engineering,Ed. Opt.,197,79,89,34,82,93.0,312.0,Bahasa Jepang,"Biologi, Bahasa Inggris, Ekonomi",Basket
DKI Jakarta,SMA Labschool Bandung,Bandung,Humanities & Interdisciplinary,Open,253,0,0,0,77,64.0,59.0,Bahasa Arab,Kimia,Bulu Tangkis
DKI Jakarta,SMA Labschool Bandung,Bandung,Humanities & Interdisciplinary,Screened: Language,382,62,84,49,87,64.0,389.0,Bahasa Jerman,"Ekonomi, Kimia, Biologi","Pencak Silat, Bulu Tangkis"
Yogyakarta,SMA Labschool Bandung,Sleman,Humanities & Interdisciplinary,Screened,602,97,94,88,89,67.0,1546.0,Bahasa Jepang,"Fisika, Biologi, Kimia",Futsal
Jawa Timur,SMA Negeri 5 Jakarta,Jakarta Selatan,Engineering,Test,1320,100,97,88,99,,,Bahasa Inggris,"Matematika Lanjutan, Biologi, Bahasa Inggris","Bulu Tangkis, Pencak Silat"
Jawa Timur,SMK Pariwisata Bali,Bandung,Humanities & Interdisciplinary,Open,453,76,84,50,85,88.0,1152.0,Bahasa Jepang,"Fisika, Bahasa Inggris",Bulu Tangkis
Jawa Barat,SMA Negeri 3 Sleman,Sleman,Architecture,Audition,1447,85,90,66,92,44.0,296.0,Bahasa Arab,"Matematika Lanjutan, Kimia","Renang, Pencak Silat"
Yogyakarta,SMA Negeri 2 Bandung,Bandung,Visual Art & Design,Ed. Opt.,432,72,85,44,83,84.0,501.0,Bahasa Jerman,"Fisika, Bahasa Inggris, Ekonomi","Futsal, Bulu Tangkis"
Jawa Barat,SMK Teknologi Surabaya,Jakarta Selatan,Health Professions,Ed. Opt.,398,87,88,79,81,62.0,871.0,Bahasa Jepang,"Kimia, Fisika",Futsal
Yogyakarta,SMA Plus Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Open,1196,98,92,84,94,225.0,4312.0,Bahasa Jerman,"Matematika Lanjutan, Ekonomi","Pencak Silat, Basket"
Jawa Timur,SMK Informatika Nusantara,Denpasar,Humanities & Interdisciplinary,Screened,496,97,95,88,98,112.0,4488.0,Bahasa Mandarin,"Biologi, Matematika Lanjutan, Ekonomi","Pencak Silat, Futsal"
Yogyakarta,SMA Negeri 2 Bandung,Bandung,Science & Math,Ed. Opt.,616,86,86,76,81,64.0,910.0,Bahasa Inggris,"Fisika, Kimia, Matematika Lanjutan",Bulu Tangkis
Yogyakarta,SMA Negeri 1 Jakarta,Sleman,Teaching,Ed. Opt.,3045,80,87,56,81,54.0,291.0,Bahasa Inggris,"Bahasa Inggris, Fisika, Biologi","Renang, Basket"
Bali,SMK Teknologi Surabaya,Denpasar,Humanities & Interdisciplinary,Screened: Language,448,39,80,21,83,75.0,131.0,Bahasa Jerman,"Bahasa Inggris, Matematika Lanjutan","Bulu Tangkis, Futsal"
DKI Jakarta,SMA Negeri 1 Jakarta,Denpasar,Communications,Ed. Opt.,567,97,93,85,77,45.0,414.0,Bahasa Mandarin,"Matematika Lanjutan, Bahasa Inggris, Fisika","Bulu Tangkis, Basket"
Yogyakarta,SMA Plus Nusantara,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,3601,73,86,55,78,83.0,601.0,Bahasa Jepang,Kimia,"Pencak Silat, Futsal"
Yogyakarta,SMA Negeri 2 Bandung,Surabaya,Health Professions,Ed. Opt.,3367,73,87,59,91,83.0,953.0,Bahasa Arab,Matematika Lanjutan,"Basket, Renang"
Yogyakarta,SMA Negeri 2 Bandung,Denpasar,Humanities & Interdisciplinary,Ed. Opt.,1313,93,92,59,82,65.0,535.0,Bahasa Mandarin,Biologi,"Renang, Futsal"
Yogyakarta,SMK Pariwisata Bali,Surabaya,Performing Arts/Visual Art & Design,Audition,356,93,91,72,89,85.0,852.0,Bahasa Jepang,"Bahasa Inggris, Biologi, Ekonomi",Futsal
Jawa Timur,SMK Teknologi Surabaya,Jakarta Selatan,Law & Government,Open,264,64,74,34,88,89.0,238.0,Bahasa Jepang,"Biologi, Fisika","Renang, Pencak Silat"
Jawa Timur,SMA Labschool Bandung,Bandung,Engineering,Ed. Opt.,241,75,85,0,86,67.0,208.0,Bahasa Mandarin,"Bahasa Inggris, Ekonomi, Biologi",Renang
DKI Jakarta,SMK Informatika Nusantara,Jakarta Selatan,Humanities & Interdisciplinary,Screened,522,82,85,72,85,64.0,1006.0,Bahasa Mandarin,"Biologi, Kimia, Fisika",Pencak Silat
DKI Jakarta,SMA Negeri 2 Bandung,Bandung,Humanities & Interdisciplinary,Ed. Opt.,215,65,84,61,76,103.0,173.0,Bahasa Arab,Ekonomi,Pencak Silat
Bali,SMK Informatika Nusantara,Surabaya,Teaching,Ed. Opt.,1073,91,91,79,80,233.0,954.0,Bahasa Jepang,"Ekonomi, Fisika",Bulu Tangkis
Yogyakarta,SMA Negeri 3 Sleman,Sleman,Law & Government,Ed. Opt.,2000,76,90,38,78,97.0,523.0,Bahasa Inggris,"Ekonomi, Bahasa Inggris",Basket
Bali,SMK Pariwisata Bali,Denpasar,Science & Math,Ed. Opt.,281,70,75,42,74,85.0,232.0,Bahasa Mandarin,Biologi,"Basket, Futsal"
Jawa Timur,SMA Negeri 5 Jakarta,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,429,63,79,53,77,85.0,543.0,Bahasa Arab,"Fisika, Biologi",Basket
Bali,SMK Pariwisata Bali,Sleman,Science & Math,Screened,1011,94,96,75,90,206.0,4253.0,Bahasa Jerman,"Matematika Lanjutan, Bahasa Inggris, Fisika","Bulu Tangkis, Basket"
Jawa Barat,SMK Teknologi Surabaya,Bandung,Computer Science & Technology,Ed. Opt.,353,86,86,75,87,68.0,427.0,Bahasa Arab,Fisika,"Pencak Silat, Basket"
DKI Jakarta,SMA Negeri 2 Bandung,Surabaya,Science & Math,Screened,702,100,94,88,91,80.0,3225.0,Bahasa Mandarin,"Kimia, Matematika Lanjutan","Futsal, Pencak Silat"
Jawa Timur,SMA Plus Nusantara,Sleman,Humanities & Interdisciplinary,Ed. Opt.,681,90,84,74,86,74.0,456.0,Bahasa Jepang,"Fisika, Bahasa Inggris, Biologi","Futsal, Pencak Silat"
DKI Jakarta,SMA Plus Nusantara,Sleman,Humanities & Interdisciplinary,Open,329,66,82,39,76,90.0,172.0,Bahasa Jepang,Kimia,"Basket, Futsal"
Jawa Barat,SMA Labschool Bandung,Surabaya,Humanities & Interdisciplinary,Open,456,80,88,46,84,85.0,511.0,Bahasa Arab,Fisika,Pencak Silat
Jawa Timur,SMA Plus Nusantara,Surabaya,Humanities & Interdisciplinary,Ed. Opt.,364,69,78,48,74,95.0,254.0,Bahasa Jerman,"Ekonomi, Kimia",Renang
Yogyakarta,SMA Labschool Bandung,Surabaya,Animal Science,Ed. Opt.,468,78,88,66,82,45.0,265.0,Bahasa Mandarin,"Biologi, Ekonomi, Matematika Lanjutan","Renang, Bulu Tangkis"
Yogyakarta,SMA Labschool Bandung,Bandung,Engineering,Ed. Opt.,384,63,79,42,77,124.0,402.0,Bahasa Inggris,"Fisika, Biologi",Renang
Jawa Timur,SMA Negeri 1 Jakarta,Jakarta Selatan,Engineering,Screened,1027,98,94,82,88,70.0,1131.0,Bahasa Jepang,"Fisika, Matematika Lanjutan","Renang, Bulu Tangkis"
DKI Jakarta,SMA Negeri 2 Bandung,Sleman,Engineering,Test,500,99,96,99,97,,,Bahasa Mandarin,"Fisika, Ekonomi, Kimia","Basket, Renang"
Jawa Timur,SMA Labschool Bandung,Denpasar,Animal Science,Ed. Opt.,1998,71,86,45,84,107.0,583.0,Bahasa Inggris,Matematika Lanjutan,Pencak Silat
Jawa Barat,SMK Informatika Nusantara,Sleman,Performing Arts,Ed. Opt.,264,67,71,43,75,85.0,236.0,Bahasa Jerman,Biologi,"Pencak Silat, Basket"
Jawa Barat,SMK Teknologi Surabaya,Sleman,Humanities & Interdisciplinary,Ed. Opt.,382,76,82,55,92,90.0,266.0,Bahasa Arab,"Kimia, Matematika Lanjutan, Ekonomi",Pencak Silat
Bali,SMA Plus Nusantara,Sleman,Humanities & Interdisciplinary,Ed. Opt.,609,74,87,60,68,64.0,767.0,Bahasa Jepang,"Kimia, Matematika Lanjutan, Bahasa Inggris","Bulu Tangkis, Renang"
Yogyakarta,SMA Labschool Bandung,Denpasar,Humanities & Interdisciplinary,Screened,498,97,94,87,94,90.0,2959.0,Bahasa Jepang,"Biologi, Bahasa Inggris",Bulu Tangkis
Yogyakarta,SMA Negeri 3 Sleman,Denpasar,Humanities & Interdisciplinary,Screened,406,96,94,69,95,76.0,2893.0,Bahasa Inggris,"Ekonomi, Bahasa Inggris, Matematika Lanjutan","Bulu Tangkis, Basket"
DKI Jakarta,SMA Negeri 3 Sleman,Surabaya,Humanities & Interdisciplinary,Screened,165,91,86,62,92,57.0,353.0,Bahasa Jepang,"Biologi, Ekonomi",Pencak Silat
